Month,Sales
1,455.7184698349719
2,569.8672723291793
3,544.1489249025996
4,464.6852643040954
5,521.0699874015731
6,642.5718268548576
7,448.6660378303463
8,558.5543685571911
9,653.2968129352766
10,556.6629798867449
11,576.0556924188973
12,615.2645515531555
13,704.5694813062144
14,608.0549001657674
15,627.8009020176967
16,638.2824362190742
17,780.2965041362728
18,789.3393044486893
19,740.2026948939439
20,719.3093199587428
21,746.8684287948121
22,794.5366014075399
23,683.2083065798804
24,798.7914522391052
25,687.3059666125494
26,728.1124248773294
27,815.3552597900151
28,708.5659649887016
29,782.9965639905666
30,756.9122552070157
31,797.2190314734702
32,680.0705447269638
33,741.4233447745077
34,805.0061382701041
35,896.3731215879291
36,851.3182158604892
37,870.1422957948406
38,914.4111355551142
39,846.0231828495474
40,914.1813661903644
41,869.7316740967192
42,833.6165252939696
43,910.4550103122448
44,968.6902931202528
45,966.92945254999
46,959.408475276059
47,1089.6182632968862
48,1000.6456080154388
49,1038.9368002968674
50,1111.9071669248976
51,945.2957338419376
52,968.0605894897524
53,1117.1856112561466
54,1000.0968632379468
55,1051.4841615151663
56,1113.465798471217
57,1114.5353195646585
58,1167.7443090990555
59,1164.7822068516734
60,1153.4696334852867
